"id";"department";"email";"emp_id";"location";"name"
1;"RMG";"user1@gmail.com";101;"pune";"user1"
2;"HR";"user2@gmail.com";102;"pune";"user2"
3;"IT";"user3@gmail.com";103;"pune";"user3"
4;"FINANCE";"user4@gmail.com";104;"pune";"user4"
5;"TECHNICAL_SUPPORT";"user5@gmail.com";105;"pune";"user5"
6;"ENGINEER";"user6@gmail.com";106;"pune";"user6"
7;"ENGINEER";"user7@gmail.com";107;"pune";"user7"
8;"ENGINEER";"user8@gmail.com";108;"pune";"user8"
9;"SALES";"user9@gmail.com";109;"pune";"user9"
10;"SALES";"user10@gmail.com";110;"pune";"user10"
11;"SALES";"user11@gmail.com";111;"pune";"user11"
12;"SALES";"user12@gmail.com";112;"Chennai";"user12"
13;"SALES";"user13@gmail.com";113;"Chennai";"user13"
14;"HR";"user14@gmail.com";114;"Chennai";"user14"
15;"HR";"user15@gmail.com";115;"Chennai";"user15"
16;"ENGINEER";"user16@gmail.com";116;"Chennai";"user16"
17;"ENGINEER";"user17@gmail.com";117;"Chennai";"user17"
18;"ENGINEER";"user18@gmail.com";118;"Chennai";"user18"
19;"ENGINEER";"user19@gmail.com";119;"Chennai";"user19"
20;"IT";"user20@gmail.com";120;"Chennai";"user20"
